ano;periodo;estudante;disciplina;ch;tipo;anp;aulas;faltas;justificadas;percentual;nb1;nb2;ms1;nr1;mr1;nb3;nb4;ms2;nr2;mr2;ma;nef;mf;resultado;resultado_ano;situacao_atual
2014;4;AE33BC5B;SOCIOLOGIA;40;RG;-;43;6;-;14;75;95;85;-;85;63;93;78;-;78;82;-;82;AP;Aprovado;Evasão
2013;3;6383C701;EDUCAÇÃO FÍSICA;80;RG;-;83;-;-;0;66;72;69;-;69;75;48;62;-;62;66;-;66;AP;Aprovado;Concluído
2013;3;6383C701;ELEMENTO DE MÁQUINAS;120;RG;-;115;20;-;17,4;78;77;78;-;78;68;55;62;-;62;70;-;70;AP;Aprovado;Concluído
2013;3;6383C701;ELETRÔNICA;80;RG;-;80;11;-;13,8;62;58;60;-;60;69;54;62;-;62;61;-;61;AP;Aprovado;Concluído
2013;3;6383C701;FILOSOFIA;40;RG;-;40;3;-;7,5;88;67;78;-;78;60;75;68;-;68;73;-;73;AP;Aprovado;Concluído
2013;3;6383C701;FÍSICA;80;RG;-;81;7;-;8,6;42;62;52;40;52;74;62;68;-;68;60;-;60;AP;Aprovado;Concluído
2013;3;6383C701;HISTÓRIA;80;RG;-;84;4;-;4,8;57;55;56;70;63;59;83;71;-;71;67;-;67;AP;Aprovado;Concluído
2013;3;6383C701;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;85;2;-;2,4;83;49;66;-;66;64;64;64;-;64;65;-;65;AP;Aprovado;Concluído
2013;3;6383C701;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;119;23;-;19,3;58;65;62;-;62;60;62;61;-;61;62;-;62;AP;Aprovado;Concluído
2013;3;6383C701;MATEMÁTICA;120;RG;-;121;15;-;12,4;62;51;57;5;57;66;67;67;-;67;62;-;62;AP;Aprovado;Concluído
2013;3;6383C701;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;121;3;-;2,5;70;52;61;-;61;50;72;61;-;61;61;-;62;AP;Aprovado;Concluído
2013;3;6383C701;PROCESSOS DE FABRICAÇÃO;120;RG;-;120;17;-;14,2;68;81;75;-;75;65;73;69;-;69;72;-;72;AP;Aprovado;Concluído
2013;3;6383C701;SOCIOLOGIA;40;RG;-;40;5;-;12,5;70;57;64;-;64;45;40;43;85;64;64;-;64;AP;Aprovado;Concluído
2014;4;6383C701;AUTOMAÇÃO INDUSTRIAL;80;RG;-;83;20;-;24,1;65;50;58;-;58;80;90;85;-;85;72;-;72;AP;Aprovado;Concluído
2014;4;6383C701;ELETROTÉCNICA;80;RG;-;82;6;-;7,3;85;100;93;-;93;76;85;81;-;81;87;-;87;AP;Aprovado;Concluído
2014;4;6383C701;EMPREENDEDORISMO;40;RG;-;41;3;-;7,3;25;76;51;70;61;63;75;69;-;69;65;-;65;AP;Aprovado;Concluído
2014;4;6383C701;ENSAIOS DE MATERIAIS;80;RG;-;80;5;-;6,2;73;74;74;-;74;73;65;69;-;69;72;-;72;AP;Aprovado;Concluído
2014;4;6383C701;FILOSOFIA;40;RG;-;40;5;-;12,5;70;90;80;-;80;70;85;78;-;78;79;-;79;AP;Aprovado;Concluído
2014;4;6383C701;INSTALAÇÃO E MANUTENÇÃO INDUSTRIAL;80;RG;-;82;2;-;2,4;75;80;78;-;78;88;82;85;-;85;82;-;82;AP;Aprovado;Concluído
2014;4;6383C701;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;40;RG;-;40;7;-;17,5;80;80;80;-;80;67;60;64;-;64;72;-;72;AP;Aprovado;Concluído
2014;4;6383C701;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;80;RG;-;80;6;-;7,5;36;68;52;60;56;42;71;57;73;65;61;-;61;AP;Aprovado;Concluído
2014;4;6383C701;MATEMÁTICA;80;RG;-;82;12;-;14,6;-;45;23;82;53;45;72;59;-;59;56;-;63;AP;Aprovado;Concluído
2014;4;6383C701;METALOGRAFIA;40;RG;-;40;-;-;0;64;60;62;-;62;70;64;67;-;67;65;-;65;AP;Aprovado;Concluído
2014;4;6383C701;MÁQUINAS ELÉTRICAS;80;RG;-;80;9;-;11,2;75;64;70;-;70;85;55;70;-;70;70;-;70;AP;Aprovado;Concluído
2014;4;6383C701;MÁQUINAS HIDRAÚLICAS;80;RG;-;80;8;-;10;70;58;64;-;64;69;50;60;-;60;62;-;63;AP;Aprovado;Concluído
2014;4;6383C701;MÁQUINAS TÉRMICAS;80;RG;-;80;16;-;20;62;60;61;-;61;75;40;58;-;58;60;-;60;AP;Aprovado;Concluído
2014;4;6383C701;PLANEJAMENTO E CONTROLE DE MANUTENÇÃO;80;RG;-;81;19;-;23,5;69;60;65;-;65;81;73;77;-;77;71;-;71;AP;Aprovado;Concluído
2014;4;6383C701;SOCIOLOGIA;40;RG;-;43;6;-;14;50;75;63;-;63;60;69;65;-;65;64;-;64;AP;Aprovado;Concluído
2013;3;7BFE4D44;EDUCAÇÃO FÍSICA;80;RG;-;83;-;-;0;72;68;70;-;70;83;90;87;-;87;79;-;79;AP;Aprovado;Concluído
2013;3;7BFE4D44;ELEMENTO DE MÁQUINAS;120;RG;-;115;7;-;6,1;88;80;84;-;84;87;85;86;-;86;85;-;85;AP;Aprovado;Concluído
2013;3;7BFE4D44;ELETRÔNICA;80;RG;-;80;2;-;2,5;59;70;65;-;65;78;73;76;-;76;71;-;71;AP;Aprovado;Concluído
2013;3;7BFE4D44;FILOSOFIA;40;RG;-;40;-;-;0;87;71;79;-;79;89;60;75;-;75;77;-;77;AP;Aprovado;Concluído
2013;3;7BFE4D44;FÍSICA;80;RG;-;81;-;-;0;53;81;67;-;67;83;70;77;-;77;72;-;72;AP;Aprovado;Concluído
2013;3;7BFE4D44;HISTÓRIA;80;RG;-;84;2;-;2,4;40;59;50;75;63;60;80;70;-;70;67;-;67;AP;Aprovado;Concluído
2013;3;7BFE4D44;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;85;4;-;4,7;75;76;76;-;76;69;69;69;-;69;73;-;73;AP;Aprovado;Concluído
2013;3;7BFE4D44;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;119;13;-;10,9;70;65;68;-;68;75;71;73;-;73;71;-;71;AP;Aprovado;Concluído
2013;3;7BFE4D44;MATEMÁTICA;120;RG;-;121;1;-;0,8;66;57;62;-;62;90;72;81;-;81;72;-;72;AP;Aprovado;Concluído
2013;3;7BFE4D44;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;121;-;-;0;70;69;70;-;70;95;80;88;-;88;79;-;79;AP;Aprovado;Concluído
2013;3;7BFE4D44;PROCESSOS DE FABRICAÇÃO;120;RG;-;120;22;-;18,3;72;93;83;-;83;71;69;70;-;70;77;-;77;AP;Aprovado;Concluído
2013;3;7BFE4D44;SOCIOLOGIA;40;RG;-;40;-;-;0;60;77;69;-;69;85;90;88;-;88;79;-;79;AP;Aprovado;Concluído
2014;4;7BFE4D44;AUTOMAÇÃO INDUSTRIAL;80;RG;-;83;10;-;12;60;80;70;-;70;80;100;90;-;90;80;-;80;AP;Aprovado;Concluído
2014;4;7BFE4D44;ELETROTÉCNICA;80;RG;-;82;2;-;2,4;68;80;74;-;74;90;95;93;-;93;84;-;84;AP;Aprovado;Concluído
2014;4;7BFE4D44;EMPREENDEDORISMO;40;RG;-;41;2;-;4,9;70;98;84;-;84;70;50;60;-;60;72;-;72;AP;Aprovado;Concluído
2014;4;7BFE4D44;ENSAIOS DE MATERIAIS;80;RG;-;80;1;-;1,2;73;71;72;-;72;72;70;71;-;71;72;-;72;AP;Aprovado;Concluído
2014;4;7BFE4D44;FILOSOFIA;40;RG;-;40;3;-;7,5;60;90;75;-;75;75;80;78;-;78;77;-;77;AP;Aprovado;Concluído
2014;4;7BFE4D44;INSTALAÇÃO E MANUTENÇÃO INDUSTRIAL;80;RG;-;82;-;-;0;100;80;90;-;90;68;82;75;-;75;83;-;83;AP;Aprovado;Concluído
2014;4;7BFE4D44;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;40;RG;-;40;5;-;12,5;70;90;80;-;80;77;77;77;-;77;79;-;79;AP;Aprovado;Concluído
